date,Location,MinTemp,MaxTemp,Rainfall,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,RainToday,RainTomorrow
14-08-2016,krishnankovil,13.4,22.9,0.6,20,24,71,22,1007.7,1007.1,0,0
15-08-2016,krishnankovil,7.4,25.1,0,4,22,44,25,1010.6,1007.8,0,0
16-08-2016,krishnankovil,12.9,25.7,0,19,26,38,30,1007.6,1008.7,0,0
17-08-2016,krishnankovil,9.2,28,0,11,9,45,16,1017.6,1012.8,0,0
18-08-2016,krishnankovil,17.5,32.3,1,7,20,82,33,1010.8,1006,0,0
19-08-2016,krishnankovil,14.6,29.7,0.2,19,24,55,23,1009.2,1005.4,0,0
20-08-2016,krishnankovil,14.3,25,0,20,24,49,19,1009.6,1008.2,0,0
21-08-2016,krishnankovil,7.7,26.7,0,6,17,48,19,1013.4,1010.1,0,0
22-08-2016,krishnankovil,9.7,31.9,0,7,28,42,9,1008.9,1003.6,0,0
23-08-2016,krishnankovil,13.1,30.1,1.4,15,11,58,27,1007,1005.7,1,1
24-08-2016,krishnankovil,13.4,30.4,0,17,6,48,22,1011.8,1008.7,0,0
25-08-2016,krishnankovil,15.9,21.7,2.2,15,13,89,91,1010.5,1004.2,1,1
26-08-2016,krishnankovil,15.9,18.6,15.6,28,28,76,93,994.3,993,1,1
27-08-2016,krishnankovil,12.6,21,3.6,24,20,65,43,1001.2,1001.8,1,1
28-08-2016,krishnankovil,8.4,24.6,0,4,30,57,32,1009.7,1008.7,0,0
29-08-2016,krishnankovil,9.8,27.7,0,27,22,50,28,1013.4,1010.3,0,1
30-08-2016,krishnankovil,14.1,20.9,0,11,9,69,82,1012.2,1010.4,0,0
31-08-2016,krishnankovil,13.5,22.9,16.8,6,20,80,65,1005.8,1002.2,1,1
01-09-2016,krishnankovil,11.2,22.5,10.6,24,17,47,32,1009.4,1009.7,1,1
02-09-2016,krishnankovil,9.8,25.6,0,17,6,45,26,1019.2,1017.1,0,0
03-09-2016,krishnankovil,11.5,29.3,0,9,9,56,28,1019.3,1014.8,0,0
04-09-2016,krishnankovil,17.1,33,0,17,22,38,28,1013.6,1008.1,0,0
05-09-2016,krishnankovil,20.5,31.8,0,19,20,54,24,1007.8,1005.7,0,0
06-09-2016,krishnankovil,15.3,30.9,0,6,13,55,23,1011,1008.2,0,0
07-09-2016,krishnankovil,12.6,32.4,0,4,19,49,17,1012.9,1010.1,0,0
08-09-2016,krishnankovil,16.2,33.9,0,9,13,45,19,1010.9,1007.6,0,0
09-09-2016,krishnankovil,16.9,33,0,0,26,41,28,1006.8,1003.6,0,0
10-09-2016,krishnankovil,20.1,32.7,0,13,30,56,15,1005.2,1001.7,0,0
11-09-2016,krishnankovil,19.7,27.2,0,19,30,49,22,1004.8,1004.2,0,0
12-09-2016,krishnankovil,12.5,24.2,1.2,11,22,78,70,1005.6,1003.4,1,1
13-09-2016,krishnankovil,12,24.4,0.8,17,17,48,28,1006.1,1005.1,0,0
14-09-2016,krishnankovil,11.3,26.5,0,19,31,46,26,1004.5,1003.2,0,0
15-09-2016,krishnankovil,9.6,23.9,0,19,11,44,22,1014.4,1013.1,0,0
16-09-2016,krishnankovil,10.5,28.8,0,11,7,43,22,1018.7,1014.8,0,0
17-09-2016,krishnankovil,12.3,34.6,0,6,17,41,12,1015.1,1010.3,0,0
18-09-2016,krishnankovil,12.9,35.8,0,6,26,41,9,1012.6,1009.2,0,0
19-09-2016,krishnankovil,13.7,37.9,0,4,26,33,8,1010.9,1006.7,0,0
20-09-2016,krishnankovil,16.1,38.9,0,6,30,34,12,1007,1002.7,0,0
21-09-2016,krishnankovil,14,28.3,0,17,24,43,15,1011.9,1010.9,0,0
22-09-2016,krishnankovil,12.5,28.4,0,20,9,38,16,1017.8,1013.7,0,0
23-09-2016,krishnankovil,17,30.8,0,15,11,36,24,1013.4,1008.1,0,0
24-09-2016,krishnankovil,16.9,32,0,13,17,52,31,1009.9,1006.8,0,0
25-09-2016,krishnankovil,17.3,34.7,0,7,15,48,16,1014.1,1012.1,0,0
26-09-2016,krishnankovil,17.2,37.7,0,7,17,51,19,1015.7,1010.9,0,0
27-09-2016,krishnankovil,17.4,43,0,7,17,40,8,1011.6,1006.9,0,0
28-09-2016,krishnankovil,19.8,32.7,0,20,28,34,28,1008.4,1009.2,0,0
29-09-2016,krishnankovil,14.9,26.7,0,20,31,46,20,1014.1,1012.7,0,0
30-09-2016,krishnankovil,10.5,28.4,0,19,11,35,16,1019.7,1017.4,0,0
01-10-2016,krishnankovil,11.3,32.2,0,17,15,34,17,1019.7,1016.2,0,0
02-10-2016,krishnankovil,13.9,36.6,0,2,15,39,10,1015.8,1010.6,0,0
03-10-2016,krishnankovil,18.6,39.9,0,9,20,36,21,1010.1,1004.8,0,0
04-10-2016,krishnankovil,19.3,38.1,0.8,15,17,48,17,1009.6,1005.9,0,0
05-10-2016,krishnankovil,24.4,34,0.6,26,48,60,39,1005.3,997.8,0,0
06-10-2016,krishnankovil,18.8,35.2,6.4,6,28,43,28,1007.9,1003.9,1,1
07-10-2016,krishnankovil,20.8,30.6,0,30,28,41,21,1005.4,1007.6,0,0
08-10-2016,krishnankovil,14,34.3,0,7,13,44,10,1016.5,1014.6,0,0
09-10-2016,krishnankovil,15.7,38.4,0,7,7,48,12,1017.7,1014.6,0,0
10-10-2016,krishnankovil,18.5,38.2,0,9,17,48,25,1017.8,1014.1,0,0
11-10-2016,krishnankovil,20.4,40.7,0,7,13,45,15,1014.9,1011.6,0,0
12-10-2016,krishnankovil,21.8,41.5,0,6,11,38,13,1015.7,1011.8,0,0
13-10-2016,krishnankovil,22.3,42.9,0,9,11,37,11,1014.6,1010.2,0,0
14-10-2016,krishnankovil,22,42.7,0,4,4,33,11,1014.2,1010.5,0,0
15-10-2016,krishnankovil,28,43.1,0,15,9,27,9,1012.5,1008.7,0,0
16-10-2016,krishnankovil,24.4,38.3,0.2,19,7,32,21,1011.7,1007.4,0,0
17-10-2016,krishnankovil,21.5,37.7,0,13,9,51,21,1009.2,1005.7,0,0
18-10-2016,krishnankovil,21.7,36.9,0,11,11,53,26,1008.8,1004.7,0,0
19-10-2016,krishnankovil,21.5,41.2,0,7,19,48,15,1005.9,1002.6,0,0
20-10-2016,krishnankovil,23.5,42.2,0,6,15,39,8,1008,1005,0,0
21-10-2016,krishnankovil,22.3,44.8,0,9,33,36,11,1008.2,1003.8,0,0
22-10-2016,krishnankovil,28.3,40.2,0,9,22,20,19,1007,1006.5,0,0
23-10-2016,krishnankovil,18.4,31.2,0.4,7,11,66,31,1009.3,1007.8,0,0
24-10-2016,krishnankovil,14.9,27.3,0,20,13,50,30,1011.6,1008.5,0,0
25-10-2016,krishnankovil,13.5,26.7,0,19,11,45,24,1012.8,1011.1,0,0
26-10-2016,krishnankovil,16.1,21.6,0,11,15,58,69,1017,1017.3,0,0
27-10-2016,krishnankovil,14.6,29,3,26,24,41,21,1023.3,1019.7,1,1
28-10-2016,krishnankovil,12.4,29.2,0,7,0,37,18,1022.5,1016.4,0,0
29-10-2016,krishnankovil,13.3,31.3,0,7,15,50,23,1016.2,1012.8,0,0
30-10-2016,krishnankovil,17.2,31.1,0,17,11,43,22,1017.7,1013.8,0,0
